impression_date,ad_format,audience,cost,impressions,installs,purchasers,revenue_d7
2023-04-01,rewarded video,Tier 3,400.197957,21149,104,1,1.99
2023-04-01,rewarded video,Tier 1,623.451317999999,2049,16,8,52.92
2023-04-01,interstitial display,Tier 3,817.860547999999,61912,399,0,0.0
2023-04-01,interstitial display,Tier 2,4689.497101,34833,102,32,251.94
2023-04-01,interstitial display,Tier 1,180.161975999999,1355,12,16,53.088
2023-04-01,rewarded video,Tier 2,5808.404353,22842,93,42,244.922
2023-04-02,rewarded video,Tier 1,629.323136,2160,26,41,283.59
2023-04-02,rewarded video,Tier 2,5332.02970199999,19638,106,42,193.672999999999
2023-04-02,interstitial display,Tier 2,4547.743389,33883,90,7,21.648
2023-04-02,interstitial display,Tier 3,817.961273999999,58712,428,5,14.353
2023-04-02,rewarded video,Tier 3,400.172417,21421,116,1,4.99
2023-04-02,interstitial display,Tier 1,187.230584,1369,11,11,70.6229999999999
2023-04-03,rewarded video,Tier 2,4676.31807399999,16861,91,35,138.004
2023-04-03,interstitial display,Tier 2,4339.101589,32278,88,23,287.53
2023-04-03,interstitial display,Tier 1,168.024118,1394,8,0,0.0
2023-04-03,rewarded video,Tier 1,608.859969,2149,14,11,99.89
2023-04-03,rewarded video,Tier 3,418.730828999999,23884,136,0,0.0
2023-04-03,interstitial display,Tier 3,817.354532,60211,422,3,10.479
2023-04-04,interstitial display,Tier 1,160.387507999999,1320,10,1,1.393
2023-04-04,rewarded video,Tier 3,438.974560999999,25914,162,0,0.0
2023-04-04,rewarded video,Tier 2,4746.785572,17216,85,63,349.333
2023-04-04,interstitial display,Tier 2,4196.28190799999,31196,77,68,415.111999999999
2023-04-04,interstitial display,Tier 3,754.19416,56558,380,7,38.542
2023-04-04,rewarded video,Tier 1,616.157662,2116,14,0,0.0
2023-04-05,rewarded video,Tier 1,624.917361999999,2200,13,8,88.9199999999999
2023-04-05,rewarded video,Tier 3,420.475338999999,24477,129,1,1.99
2023-04-05,interstitial display,Tier 2,4397.03258199999,33679,102,80,313.236999999999
2023-04-05,interstitial display,Tier 1,165.210018,1388,17,12,107.601
2023-04-05,interstitial display,Tier 3,806.767089999999,60936,442,3,16.976
2023-04-05,rewarded video,Tier 2,4874.329448,18294,69,21,79.041
2023-04-06,interstitial display,Tier 1,155.875931999999,1255,12,18,79.365
2023-04-06,rewarded video,Tier 3,400.302746,22834,112,0,0.0
2023-04-06,rewarded video,Tier 1,624.14879,2154,10,12,108.688999999999
2023-04-06,interstitial display,Tier 3,801.760546,61880,444,1,17.493
2023-04-06,rewarded video,Tier 2,4831.629858,17789,81,35,118.837
2023-04-06,interstitial display,Tier 2,4286.83394,32656,87,40,162.908
2023-04-07,interstitial display,Tier 2,4296.218369,32545,85,81,913.882
2023-04-07,interstitial display,Tier 3,797.594676,62183,448,5,30.0649999999999
2023-04-07,rewarded video,Tier 2,4849.008183,17726,69,55,208.525
2023-04-07,interstitial display,Tier 1,165.103504,1291,10,0,0.0
2023-04-07,rewarded video,Tier 1,623.359886,2190,21,43,597.76
2023-04-07,rewarded video,Tier 3,400.288821999999,22074,121,1,3.99
2023-04-08,rewarded video,Tier 2,4872.72060899999,17519,85,100,454.900999999999
2023-04-08,rewarded video,Tier 3,400.480044999999,21471,116,0,0.0
2023-04-08,interstitial display,Tier 1,162.525159,1273,12,3,3.479
2023-04-08,interstitial display,Tier 2,4295.807514,31257,104,80,309.006999999999
2023-04-08,rewarded video,Tier 1,620.868293,2177,12,26,258.739999999999
2023-04-08,interstitial display,Tier 3,779.726127,60314,439,2,4.886
2023-04-09,interstitial display,Tier 3,741.714378999999,56274,412,6,43.043
2023-04-09,rewarded video,Tier 1,626.285533999999,2042,16,22,342.78
2023-04-09,rewarded video,Tier 3,400.503692999999,21301,115,0,0.0
2023-04-09,rewarded video,Tier 2,4877.016715,18493,79,47,127.05
2023-04-09,interstitial display,Tier 2,4303.058366,31860,89,29,279.797
2023-04-09,interstitial display,Tier 1,168.433709,1390,13,4,6.27199999999999
2023-04-10,rewarded video,Tier 3,446.951955999999,23629,134,0,0.0
2023-04-10,interstitial display,Tier 3,757.987527999999,57652,409,1,1.393
2023-04-10,interstitial display,Tier 1,170.039779,1271,14,7,23.048
2023-04-10,rewarded video,Tier 2,4748.61656999999,18415,75,29,109.857999999999
2023-04-10,rewarded video,Tier 1,618.492155,2209,19,21,116.22
2023-04-10,interstitial display,Tier 2,4403.798197,32586,84,13,34.406
2023-04-11,rewarded video,Tier 2,4765.51327,18566,83,78,446.163999999999
2023-04-11,interstitial display,Tier 1,152.450055,1243,11,29,94.997
